dataset,path,relative_path,width,height,short_side,low_res_lt512,mask_found,person_area_ratio,full_lap,full_ten,person_lap,person_ten,face_lap,primary_type,primary_lap,primary_ten,quality_rank,severe_suspect,suspect_blur
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000049.jpg,pair01/talk01/images/16/000049.jpg,940,1280,940,False,False,nan,172.7981176984801,3025.663127493351,nan,nan,nan,full,172.7981176984801,3025.663127493351,0.0,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000050.jpg,pair01/talk01/images/16/000050.jpg,940,1280,940,False,False,nan,173.7749352897384,3025.8356154421544,nan,nan,nan,full,173.7749352897384,3025.8356154421544,0.00041946308724832214,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000048.jpg,pair01/talk01/images/16/000048.jpg,940,1280,940,False,False,nan,176.00795785824386,3046.9689473902927,nan,nan,nan,full,176.00795785824386,3046.9689473902927,0.0010486577181208054,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000047.jpg,pair01/talk01/images/16/000047.jpg,940,1280,940,False,False,nan,177.65219667085748,3055.50030127992,nan,nan,nan,full,177.65219667085748,3055.50030127992,0.0018875838926174495,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000051.jpg,pair01/talk01/images/16/000051.jpg,940,1280,940,False,False,nan,176.3545133897815,3081.504913979388,nan,nan,nan,full,176.3545133897815,3081.504913979388,0.0025167785234899327,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000053.jpg,pair01/talk01/images/16/000053.jpg,940,1280,940,False,False,nan,177.80493299785164,3102.981164810505,nan,nan,nan,full,177.80493299785164,3102.981164810505,0.0041946308724832215,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000044.jpg,pair01/talk01/images/16/000044.jpg,940,1280,940,False,False,nan,180.47345781064564,3031.2125685671544,nan,nan,nan,full,180.47345781064564,3031.2125685671544,0.004614093959731544,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000054.jpg,pair01/talk01/images/16/000054.jpg,940,1280,940,False,False,nan,179.2693295144236,3103.2740504488033,nan,nan,nan,full,179.2693295144236,3103.2740504488033,0.005453020134228188,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000046.jpg,pair01/talk01/images/16/000046.jpg,940,1280,940,False,False,nan,180.47481212857733,3071.4703810671544,nan,nan,nan,full,180.47481212857733,3071.4703810671544,0.005662751677852349,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000084.jpg,pair01/talk01/images/16/000084.jpg,940,1280,940,False,False,nan,180.49236549636046,3072.4537379488033,nan,nan,nan,full,180.49236549636046,3072.4537379488033,0.006291946308724833,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000052.jpg,pair01/talk01/images/16/000052.jpg,940,1280,940,False,False,nan,177.57416040835844,3134.5495137965427,nan,nan,nan,full,177.57416040835844,3134.5495137965427,0.006501677852348993,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000055.jpg,pair01/talk01/images/16/000055.jpg,940,1280,940,False,False,nan,180.03577544817074,3103.6668882978724,nan,nan,nan,full,180.03577544817074,3103.6668882978724,0.006711409395973154,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000082.jpg,pair01/talk01/images/16/000082.jpg,940,1280,940,False,False,nan,180.2170778013506,3124.571205950798,nan,nan,nan,full,180.2170778013506,3124.571205950798,0.008808724832214766,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair01/talk01/images/16/000080.jpg,pair01/talk01/images/16/000080.jpg,940,1280,940,False,False,nan,179.518963566297,3158.9962391954787,nan,nan,nan,full,179.518963566297,3158.9962391954787,0.00964765100671141,True,True
