dataset,path,relative_path,width,height,short_side,low_res_lt512,mask_found,person_area_ratio,full_lap,full_ten,person_lap,person_ten,primary_type,primary_lap,primary_ten,quality_rank,severe_suspect,suspect_blur
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair00/yoga00/images/4/000050.jpg,pair00/yoga00/images/4/000050.jpg,940,1280,940,False,True,0.048877992021276594,655.7098646391674,6357.79815284242,14.865892513049733,213.16038556564706,person,14.865892513049733,213.16038556564706,0.0,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair00/yoga00/images/4/000045.jpg,pair00/yoga00/images/4/000045.jpg,940,1280,940,False,True,0.04897190824468085,738.6019865952773,7315.236941073803,16.51892423881253,272.0756491515028,person,16.51892423881253,272.0756491515028,0.00041946308724832214,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair16/hug16/images/4/000049.jpg,pair16/hug16/images/4/000049.jpg,940,1280,940,False,True,0.05804521276595745,257.2119759679002,4862.653289145612,23.42525769330484,552.485562535386,person,23.42525769330484,552.485562535386,0.002307046979865772,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair14/talk14/images/4/000013.jpg,pair14/talk14/images/4/000013.jpg,940,1280,940,False,True,0.05880817819148936,279.271528240106,5188.555217337101,25.062436189322217,409.4501642178047,person,25.062436189322217,409.4501642178047,0.002726510067114094,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair16/jump16/images/4/000047.jpg,pair16/jump16/images/4/000047.jpg,940,1280,940,False,True,0.057955452127659575,254.03429303259912,4729.113873420878,23.314098627474298,570.061810763123,person,23.314098627474298,570.061810763123,0.002726510067114094,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair14/talk14/images/4/000010.jpg,pair14/talk14/images/4/000010.jpg,940,1280,940,False,True,0.054723238031914895,280.76611796068676,5198.090861868351,26.63504553861426,441.35230372840255,person,26.63504553861426,441.35230372840255,0.0035654362416107383,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair14/talk14/images/4/000011.jpg,pair14/talk14/images/4/000011.jpg,940,1280,940,False,True,0.05573803191489362,281.248634857201,5205.509017619681,27.397426447421395,436.0657332788651,person,27.397426447421395,436.0657332788651,0.00398489932885906,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair16/jump16/images/4/000045.jpg,pair16/jump16/images/4/000045.jpg,940,1280,940,False,True,0.057578125,247.53943067654166,4604.435349484707,24.21236183349563,584.5280974949221,person,24.21236183349563,584.5280974949221,0.00398489932885906,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair16/jump16/images/4/000042.jpg,pair16/jump16/images/4/000042.jpg,940,1280,940,False,True,0.05799783909574468,251.91790508641114,4794.242332945479,23.503383982297567,596.942991122777,person,23.503383982297567,596.942991122777,0.003984899328859061,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair00/yoga00/images/4/000040.jpg,pair00/yoga00/images/4/000040.jpg,940,1280,940,False,True,0.04896442819148936,812.107695641238,8135.566988031915,27.209559324109296,567.6555003846423,person,27.209559324109296,567.6555003846423,0.004823825503355705,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair14/talk14/images/4/000009.jpg,pair14/talk14/images/4/000009.jpg,940,1280,940,False,True,0.05445063164893617,281.1867335961652,5194.948304521276,28.765774948424564,453.4561383373503,person,28.765774948424564,453.4561383373503,0.005453020134228188,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair14/talk14/images/4/000014.jpg,pair14/talk14/images/4/000014.jpg,940,1280,940,False,True,0.060238530585106385,279.52603176655737,5179.868631565824,28.445043044163913,488.36547707726686,person,28.445043044163913,488.36547707726686,0.005453020134228188,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair16/jump16/images/4/000049.jpg,pair16/jump16/images/4/000049.jpg,940,1280,940,False,True,0.05804521276595745,262.3446173266137,4866.56524268617,24.489822525124527,629.046183710334,person,24.489822525124527,629.046183710334,0.0056627516778523495,True,True
Hi4D,/home/shangguanrz/project/pic-edit/datasets/Hi4D_pilot_v1/raw/pair16/hug16/images/4/000044.jpg,pair16/hug16/images/4/000044.jpg,940,1280,940,False,True,0.057674534574468084,261.6641550469906,5058.309050864362,23.005351477973225,667.9340470601707,person,23.005351477973225,667.9340470601707,0.00587248322147651,True,True
